beta,c_max,k_c,f0,k_f,sse,peak,late_mean
0.06,300.0,0.01,0.12,0.15,4599.530357080654,109.45741609447093,108.41022457097702
0.07,300.0,0.01,0.12,0.25,4601.139349761046,113.54932280952792,112.34176433516879
0.07,400.0,0.015,0.12,0.2,4605.497362242796,113.09987301658045,111.83414621174771
0.06,400.0,0.02,0.15,0.15,4607.588306443135,112.89660431475392,111.70169423674719
0.07,400.0,0.01,0.1,0.1,4616.911373129068,111.62942324589325,110.55259906741274
0.07,450.0,0.01,0.1,0.15,4634.030019897329,107.68958220056003,106.66347721738721
0.07,400.0,0.01,0.1,0.2,4641.693539950036,108.59758133491806,107.5081908430927
0.07,350.0,0.01,0.1,0.25,4646.3826367751635,109.91829539623635,108.76625250029282
0.05,300.0,0.005,0.15,0.1,4648.766212752221,105.84820982919747,105.11908937817184
0.06,350.0,0.01,0.15,0.1,4651.200497120983,113.13401411876188,112.15661493801397
0.06,300.0,0.02,0.15,0.25,4653.420677591172,113.12800659124125,111.8825021621845
0.07,400.0,0.015,0.15,0.25,4655.983787647531,114.92835801014458,113.66881422535334
0.05,300.0,0.01,0.15,0.1,4663.948123011052,107.76959504159872,106.89173801052364
0.07,400.0,0.01,0.15,0.15,4683.841620880133,114.59736645385588,113.53714349576538
0.06,450.0,0.01,0.15,0.25,4683.980755313934,105.02835455691178,104.13837781748406
0.07,400.0,0.005,0.1,0.2,4699.389473694067,105.11803623378489,104.29743688918376
0.06,350.0,0.01,0.12,0.15,4701.69126408911,107.79095335653768,106.79685544378863
0.07,300.0,0.01,0.1,0.25,4706.715374998562,111.8561159156202,110.64224231049396
0.06,300.0,0.01,0.12,0.1,4710.108496128871,111.62113296975089,110.57874638581849
0.07,300.0,0.005,0.1,0.1,4719.400269167432,112.80881103437488,111.82481692150418
0.07,300.0,0.01,0.1,0.2,4726.890865238815,112.46010137630954,111.24843837544768
0.06,450.0,0.005,0.15,0.2,4734.497905356235,102.46310575456998,101.83012490406388
0.07,350.0,0.01,0.15,0.2,4738.914018913101,115.04389660107402,113.91410519363347
0.05,300.0,0.015,0.15,0.1,4741.8818493999715,109.24270167914094,108.26588971272724
0.06,300.0,0.01,0.12,0.2,4742.927352161032,108.40615067155017,107.35605103795916
0.06,300.0,0.015,0.15,0.15,4744.97214767939,113.91995846029103,112.7585750906817
0.06,300.0,0.005,0.12,0.2,4748.300979960865,106.12599910747079,105.25367884676858
0.06,450.0,0.01,0.12,0.1,4751.764958416664,106.60231654576056,105.7171744852225
0.07,300.0,0.01,0.12,0.2,4763.0369850912275,114.28470312865136,113.07999762475019
0.06,350.0,0.005,0.12,0.15,4763.263051766655,105.15043201889698,104.3608374305068
0.06,300.0,0.02,0.15,0.2,4778.749161661733,113.94108371587042,112.69672240421804
0.06,400.0,0.015,0.12,0.1,4779.752446914572,110.5872474289569,109.49439784409344
0.06,350.0,0.015,0.12,0.15,4784.405508288259,109.8251399867264,108.69383173580627
