f0,t_hold,t_switch,k1,k2,sse,peak,mid_mean,late_mean,jump_pct,loss
0.18,10,50,0.05,0.24,21873.643501457515,127.35632126758725,126.53709227780662,120.28566621660809,4.847125499332305,29711.12419126701
0.16,12,45,0.04,0.3,21973.01306290132,127.32298079179044,126.47108703688875,120.18373106090442,4.520652702501038,29746.670304937557
0.18,10,45,0.05,0.12,21874.188129123624,127.22020400597962,126.47687008455196,120.46046324506045,4.847125499332305,29758.424650177727
0.2,8,35,0.05,0.12,22329.5013371984,126.85151494368546,126.05683135159843,119.95473367230284,5.174083000057905,29835.88687597229
0.18,8,40,0.04,0.16,22118.481352376173,127.1847503169425,126.36970087147418,120.16766210409304,4.847125499332305,29839.724818689905
0.18,12,35,0.05,0.16,22489.293613538855,126.79063381337527,125.96153591471666,119.7735797851529,4.847125499332305,29887.366701928415
0.16,10,40,0.03,0.3,22331.22499407901,127.16422069707681,126.30962076343162,120.03781116793849,4.520652702501038,29979.721704004518
0.18,10,50,0.05,0.2,22032.96294246225,127.47722389468105,126.67974198609322,120.45625531992317,4.847125499332305,29998.7570728369
0.18,10,35,0.04,0.2,22637.687603098166,126.84263424773329,125.9996416149044,119.77903479440694,4.847125499332305,30053.70431957176
0.16,12,35,0.03,0.2,22540.665445737606,127.01041015651721,126.16637042581394,119.9267693442324,4.520652702501038,30085.549593585172
0.2,8,40,0.05,0.2,22644.201458223357,126.9989946330325,126.15908318629863,119.92643635131373,5.174083000057905,30181.051162719894
0.16,12,40,0.04,0.12,22160.405661125882,127.49270688898517,126.73514700700575,120.66168101168685,4.520652702501038,30238.415335562553
0.16,12,45,0.04,0.24,22319.567753002353,127.62836198551584,126.78482916699643,120.47581790797955,4.520652702501038,30343.03070697281
0.16,8,45,0.03,0.3,22274.638437692658,127.78427734149444,126.92628553315089,120.58111545693625,4.520652702501038,30402.51265482995
0.18,10,50,0.05,0.16,22260.10517750227,127.62673392224683,126.86459581249824,120.71190915927542,4.847125499332305,30408.694490928425
0.16,10,35,0.03,0.12,22456.697279146727,127.4789758279815,126.6999433523903,120.57818490561623,4.520652702501038,30485.91879234825
0.16,8,40,0.03,0.12,22313.90576015863,127.83976147319034,127.0947746022072,121.0193946760875,4.520652702501038,30694.199104656247
0.16,8,35,0.02,0.24,23090.421429109138,127.2940551333424,126.43871585812212,120.15260935832757,4.520652702501038,30838.443241675966
0.16,12,45,0.04,0.2,22655.86934916651,127.91046069748892,127.08233752143178,120.7706533233898,4.520652702501038,30927.31403926883
0.16,10,40,0.03,0.24,22953.927470479382,127.65553557841692,126.79961648199844,120.47342155208013,4.520652702501038,30983.634187403015
0.18,12,40,0.05,0.3,23308.37289938595,127.24034322420056,126.38352114553606,120.10108911795427,4.847125499332305,31010.346383990425
0.18,8,45,0.04,0.3,22926.17466335403,127.76502020297792,126.90507604137004,120.56033505996128,4.847125499332305,31034.06909154134
0.18,10,50,0.05,0.12,22606.905332417067,127.8133307570367,127.10858687914693,121.12843442112742,4.847125499332305,31035.49649310746
0.2,8,40,0.05,0.16,23160.64680240268,127.41048732505604,126.58329658871881,120.33773337733899,5.174083000057905,31037.999939107052
0.16,8,45,0.03,0.24,22713.551288956765,128.1623463940856,127.31470345594543,120.94262597343501,4.520652702501038,31158.711596595
0.18,8,40,0.04,0.12,23110.374183996093,127.92822280340427,127.158994759951,121.01982613818281,4.847125499332305,31516.719519588554
0.18,10,35,0.04,0.16,23622.56664671589,127.56122960619754,126.72234440591197,120.44141870382171,4.847125499332305,31603.351736084314
0.18,8,45,0.04,0.24,23266.260909530294,128.05874324938858,127.20682814148624,120.84117988964609,4.847125499332305,31619.811432257626
0.18,12,40,0.05,0.24,23733.75423388658,127.57571497953887,126.71798545022018,120.39842300979934,4.847125499332305,31695.872107699837
0.18,8,35,0.03,0.3,23916.43667580502,127.3905460967315,126.52995238785088,120.2271050918277,4.847125499332305,31730.30124004031
0.16,12,45,0.04,0.16,23140.83481540806,128.28682629740385,127.49163167939965,121.21572467161045,4.520652702501038,31776.780758557514
0.2,8,45,0.05,0.3,23699.555390962778,127.78817611745264,126.92597290015665,120.57656971907554,5.174083000057905,31821.119735861696
0.16,8,45,0.03,0.2,23141.04462956753,128.5117640089944,127.68321692323522,121.3077358684872,4.520652702501038,31902.31011155607
0.18,12,35,0.05,0.12,23787.504502646007,127.73666307881005,126.93260936234245,120.73024946311203,4.847125499332305,31976.40289339147
