l_early,l_late,t_late,tau_b,b_slope,b_max,sse,peak,late_mean,loss
1600.0,1400.0,20,15,35.0,300.0,3465.03553628549,103.62198620793298,103.04591002703523,3855.6977426416756
1600.0,1400.0,30,10,35.0,300.0,3458.841649068898,103.9386856655598,103.36550120823809,3857.6732007152473
1600.0,1450.0,30,10,25.0,300.0,3368.4142776277836,106.22376741142786,105.5134622748776,3859.406147263766
1600.0,1400.0,30,12,30.0,350.0,3480.347051501431,102.24138544878183,101.80557984327123,3861.828805581198
1600.0,1450.0,25,15,35.0,400.0,3482.8711401697065,102.12247474257225,101.68542758696833,3864.1408596398387
1600.0,1400.0,25,12,35.0,300.0,3475.2596879968064,103.68842496480316,103.11295427760133,3867.5007785132825
1600.0,1450.0,25,12,35.0,300.0,3401.1138077295336,105.82450300392743,105.11104081735729,3868.0828350495544
1600.0,1350.0,25,15,35.0,300.0,3492.111917894518,102.09377843612145,101.65643195902163,3873.364901674553
1600.0,1450.0,20,12,25.0,300.0,3414.565944193435,105.68006247801549,104.96546346264012,3873.480517130947
1600.0,1450.0,30,10,30.0,350.0,3478.475572926387,103.80640294995861,103.23200896285518,3873.6968989973666
1550.0,1450.0,30,15,30.0,350.0,3474.726991853475,103.96332264788485,103.39036372542813,3874.2623022190173
