beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,cool_amp,cool_mu,cool_sigma,sse,peak,mid_mean,late_mean,jump_pct,tail_err,dip_err,loss
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.08,41.0,5.0,2327.5395911924056,106.72390198087679,106.13671896394938,95.83655840323958,4.463655896520535,8.216431309787124,856.6332269963282,7957.0032063813505
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.12,43.0,5.0,2327.597523890056,106.72352616874714,106.13634916807621,95.83625201435457,4.463655896520535,8.213483094770899,856.6682386379241,7957.304262764358
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.05,39.0,5.0,2327.5396472293983,106.72466642036332,106.13747105664102,95.83718149530627,4.463655896520491,8.222428621022104,856.7003423136255,7957.338748424447
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.1,39.0,3.0,2327.5489247261708,106.72505593576922,106.13785427738756,95.83749898375021,4.463655896520535,8.225485314462857,856.7887145152761,7957.844028954731
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.1,41.0,4.0,2327.5945826720354,106.72479848610415,106.13760098882172,95.83728914099598,4.463655896520535,8.223464941138174,856.8075417454206,7958.0252735908725
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.1,43.0,5.0,2327.643738229043,106.72473568328468,106.13753914410984,95.8372378821816,4.463655896520535,8.222971457214088,856.8471130947772,7958.317377456219
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.08,39.0,3.0,2327.614203572473,106.72620141558127,106.13898124211781,95.83843264293446,4.463655896520535,8.234477626560263,856.979284753395,7958.952121055423
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.08,41.0,4.0,2327.6507201060044,106.72599545325349,106.13877860873393,95.83826476677729,4.463655896520535,8.232860405723326,856.9943482635891,7959.097102366931
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.05,39.0,4.0,2327.637629737014,106.72652715552888,106.13930171690363,95.83869814730753,4.463655896520535,8.23703566490037,857.0256058222793,7959.224878757344
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.12,41.0,3.0,2327.663744773288,106.7259512432382,106.13873511347181,95.83822873220885,4.463655896520535,8.232513290448896,857.0151146108799,7959.2386071495785
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.12,39.0,2.0,2327.6291867801206,106.72654337505217,106.13931767426752,95.83871136753677,4.463655896520535,8.237163047399628,857.0430971755214,7959.3199602733985
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.08,43.0,5.0,2327.690045442013,106.72594521009685,106.13872913208311,95.83822375903145,4.463655896520535,8.23246538519577,857.0260091181307,7959.330805275937
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.05,41.0,5.0,2327.6654503373975,106.72648248154667,106.13925775846835,95.83866172656712,4.463655896520535,8.236684740760811,857.0488479126275,7959.396073279323
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.12,43.0,4.0,2327.713468635181,106.72573404271468,106.13852142137125,95.83805169350312,4.463655896520535,8.230808011032776,857.0399460245193,7959.456393464023
0.079,10,550.0,400.0,0.003,62,0.07,0.08,0.12,45.0,5.0,2327.757600166548,106.72568134724794,106.13846932379651,95.83800842744088,4.463655896520535,8.230391288773955,857.0742611255897,7959.711046927945
